,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.9864266,-0.9646799,0.70824814,0.51689154,-1.1397742,1.0381196,-0.2809812,0.07081082,-0.44934484,-0.42147765,0.00797538,0.02772018,0.004651404,0.053505324
1,0.8715968,-0.83603764,0.69889665,0.40841258,-1.0323418,1.0240955,-0.26475808,0.077691086,-0.4540722,-0.42718154,0.0029696375,0.033725258,0.01155118,0.055377252
2,0.831693,-0.8887177,0.7468951,0.39524525,-0.9834198,1.017905,-0.2671714,0.08419308,-0.4490701,-0.43089297,0.0074078524,0.033277504,0.007541648,0.057536468
3,1.0111674,-0.88182783,0.67351294,0.46701187,-1.1739719,1.0507548,-0.27880633,0.053805374,-0.44614136,-0.42154145,0.0036106184,0.033875328,0.00796876,0.056314364
4,1.0063078,-0.83655983,0.6759665,0.358023,-1.1040658,1.0425036,-0.27740255,0.06029345,-0.44888362,-0.42301545,0.00796963,0.031972267,0.007657352,0.055848293
5,0.864295,-0.7597319,0.6570645,0.41374046,-1.0708869,1.0044657,-0.2595623,0.08651991,-0.44752184,-0.4233849,0.0060380334,0.032669447,0.008522117,0.051942863
6,0.92920625,-1.0129044,0.7455267,0.3549427,-0.916751,1.0094038,-0.2572613,0.07747824,-0.44759935,-0.42774186,0.004064828,0.031640857,0.013523788,0.054925367
7,0.90629834,-0.88726217,0.67802167,0.45532775,-1.0463117,1.022857,-0.2683474,0.0806269,-0.44952708,-0.4301403,0.0012124181,0.03230065,0.0062188776,0.05639828
8,0.904627,-0.83668786,0.7458135,0.42738354,-1.1465769,1.0284615,-0.26918033,0.06495203,-0.44168097,-0.41725832,0.0076708794,0.031056443,0.012238917,0.058294974
9,0.8935209,-0.7889842,0.75490063,0.42858398,-1.1935302,1.037292,-0.2692191,0.06647345,-0.4555435,-0.43042412,0.0068101436,0.028829968,0.011649218,0.054496236
10,0.91333383,-0.9376882,0.72256684,0.42215973,-1.0126832,1.0341647,-0.26678264,0.07274817,-0.45725283,-0.4307331,0.0064467443,0.030023046,0.0076784184,0.05773227
11,0.9177628,-1.0407257,0.70727897,0.51291996,-0.9835217,1.0197961,-0.26846576,0.09192444,-0.4554071,-0.43084025,0.0023982227,0.034333676,0.006206733,0.05819855
12,0.91713756,-0.7971606,0.73921275,0.30397955,-1.0783323,1.0488741,-0.26736283,0.051278964,-0.45102978,-0.42906156,0.005855849,0.02952331,0.011795674,0.052514896
13,0.8941548,-0.86747074,0.7037879,0.38789615,-1.0229158,1.0317652,-0.27507672,0.07941341,-0.45331076,-0.4277179,0.00578756,0.032496903,0.010252169,0.057423722
14,0.92656326,-0.99768275,0.7969475,0.4107951,-1.0465466,1.0421147,-0.27545187,0.07602972,-0.45331106,-0.431642,0.0068558035,0.030002832,0.006594372,0.05713952
15,1.0163759,-0.8259658,0.7188396,0.52367765,-1.3389696,1.0512381,-0.2692584,0.046401165,-0.44875774,-0.4238148,0.0031793434,0.032621615,0.0069015203,0.056243114
16,0.9187353,-0.9210661,0.7515149,0.42502034,-1.0693554,1.0279367,-0.2720855,0.07752773,-0.4496758,-0.4288451,0.0053152535,0.033964735,0.008595445,0.05458725
17,0.92150116,-0.94356257,0.64305556,0.42804128,-0.94358945,1.0158424,-0.27306914,0.085883975,-0.44979426,-0.4236531,0.008403494,0.033503495,0.0082598,0.054153726
18,0.7401197,-0.7991429,0.7687409,0.48066282,-1.0953988,1.0009116,-0.25757572,0.09652749,-0.45394278,-0.43560252,0.007694915,0.035917435,0.0035174033,0.056254756
19,0.7942261,-0.78702956,0.74219424,0.40979946,-1.0593604,0.9976492,-0.258054,0.087023474,-0.44485122,-0.42354298,0.0028228313,0.034008056,0.0075103613,0.056674466
20,0.8457475,-0.7438767,0.6616043,0.5147717,-1.1706203,1.0286577,-0.27339783,0.0818233,-0.4454839,-0.4256626,0.005255554,0.034339488,0.008498085,0.0543881
21,0.93290806,-0.78350556,0.717823,0.40016127,-1.1723225,1.0572703,-0.28305036,0.05683005,-0.44922778,-0.42206758,0.0035199188,0.03401625,0.009290735,0.05780739
22,0.85920876,-1.036877,0.7394835,0.4930274,-0.9391902,1.0009035,-0.25919634,0.09821022,-0.45793188,-0.4381038,0.0014326144,0.036619157,0.0065766154,0.05592975
23,0.90981,-0.9162743,0.6566496,0.43402955,-0.9729873,1.025278,-0.26252657,0.06993649,-0.44678634,-0.42600575,0.0015770085,0.029041935,0.0075216023,0.05480487
24,0.90543133,-0.8723346,0.72882074,0.49221915,-1.1494514,1.0137819,-0.2602035,0.0818703,-0.45202053,-0.4304592,0.0046649277,0.030633336,0.008362192,0.053127576
25,0.96042866,-1.0428766,0.7082755,0.35682973,-0.87623554,1.0200814,-0.2645095,0.08029996,-0.45318478,-0.4307566,0.0026732255,0.03127464,0.008438363,0.0553149
26,1.0273935,-0.91301525,0.65300405,0.43961063,-1.108447,1.0601218,-0.28269783,0.056620155,-0.4527776,-0.4262118,0.0036919937,0.030765252,0.009054498,0.056327287
27,0.86013716,-0.906613,0.72581214,0.44036925,-1.0164748,1.0229303,-0.27419057,0.085620016,-0.45153248,-0.42743447,0.008396778,0.028614532,0.008732383,0.056428418
28,1.0662282,-0.91889846,0.78491855,0.33428228,-1.1829189,1.0731269,-0.2880297,0.055018134,-0.45603028,-0.43005615,0.004831884,0.03408067,0.006140477,0.059997432
29,0.995261,-0.9618351,0.6581133,0.3462371,-0.9331662,1.0444344,-0.2707954,0.0602201,-0.44949678,-0.42940453,0.0014005378,0.03183378,0.008548752,0.054130584
30,0.89574885,-1.0529038,0.6923217,0.4107111,-0.84127545,0.994908,-0.25517195,0.090142116,-0.4483996,-0.42877918,0.004205428,0.034209494,0.00651428,0.05777442
31,0.9994166,-1.0523825,0.6660662,0.42479917,-0.9362514,1.0155431,-0.25752753,0.06477944,-0.445609,-0.42457792,0.005401917,0.03300753,0.011316427,0.056367166
32,1.0306035,-0.9557527,0.73554176,0.47248298,-1.1890814,1.0337974,-0.2717629,0.06444693,-0.4478376,-0.42245913,0.003656393,0.034944046,0.008215711,0.055725113
